identifier,title,creator,date,language
0_sense_and_sensibility_librivox,Sense and Sensibility,Jane Austen,2007-03-30T00:00:00Z,eng
1-2pedro_reina_valera_1710_librivox,"Bible (Reina Valera) NT 21-22: 1, 2 Pedro",Reina-Valera,2017-10-30T00:00:00Z,spa
100000banknote_jg_librivox,"The £1,000,000 Bank-Note & other new stories",Mark Twain,2012-12-09T00:00:00Z,eng
10000lieuessansvouloir_2102_librivox,Dix mille lieues sans le vouloir,Jules Lermina,2021-02-18T00:00:00Z,fra
1000things_1807_librivox,1000 Things Worth Knowing,"Nathaniel C. Fowler, Jr.",2018-07-11T00:00:00Z,eng
1000worlds_0709_librivox,Life in a Thousand Worlds,William Shuler Harris,2007-09-07T00:00:00Z,eng
1001_questions_grammar_2009_librivox,1001 Questions and Answers on English Grammar,Benjamin Hathaway,2020-09-03T00:00:00Z,eng
1001_questions_history_2004_librivox,1001 Questions and Answers on General History,Benjamin Hathaway,2020-04-05T00:00:00Z,eng
100_great_poems_2210_librivox,A Hundred Great Poems,Various,2022-10-11T00:00:00Z,eng
100_verses_japan_librivox,One Hundred Verses from Old Japan,"Fujiwara no Teika (ed.), transl. William Porter",2006-08-23T00:00:00Z,eng
100mejorespoesias_1502_librivox,Las Cien Mejores Poesías de la Lengua Castellana,Marcelino Menéndez y Pelayo,2015-02-02T00:00:00Z,spa
101_mexican_dishes_2303_librivox,101 Mexican Dishes,May E. Southworth,2023-03-24T00:00:00Z,eng
10cakes_2408_librivox,10 Cakes Husbands Like Best: From Spry's Recipe Round-up,Lever Brothers,2024-08-31T00:00:00Z,eng
10thanniversarycollection_1508_librivox,LibriVox 10th Anniversary Collection,Various,2015-08-09T00:00:00Z,mul
11thanniversarycollection_1608_librivox,LibriVox 11th Anniversary Collection,Various,2016-08-03T00:00:00Z,mul
11theses_librivox,Eleven Theses on Feuerbach,Karl Marx,2007-10-14T00:00:00Z,eng
12_creepytales_1206_librivox,12 Creepy Tales by Edgar Allan Poe,Edgar Allan Poe,2012-06-24T00:00:00Z,eng
12tesalonicenses_rva_1711_librivox,"Bible (Reina Valera) NT 13-14: 1, 2 Tesalonicenses",Reina-Valera,2017-11-23T00:00:00Z,spa
12thanniversarycollection_1708_librivox,LibriVox 12th Anniversary Collection,Various,2017-08-08T00:00:00Z,mul
12yearsaslave_1303_librivox,Twelve Years a Slave,Solomon Northup,2013-03-26T00:00:00Z,eng
133_quicker_ways_bisquick_2302_librivox,133 Quicker Ways to Homemade with Bisquick,Betty Crocker,2023-02-09T00:00:00Z,eng
13thanniversarycollection_1808_librivox,LibriVox 13th Anniversary Collection,Various,2018-08-01T00:00:00Z,mul
15000_useful_phrases_librivox,Fifteen Thousand Useful Phrases,Grenville Kleiser,2007-07-29T01:48:07Z,eng
15thanniversarycollection_2008_librivox,LibriVox 15th Anniversary Collection,Various,2020-08-07T00:00:00Z,mul
1601_0903_librivox,"1601: Conversation, as it was by the Social Fireside, in the Time of the Tudors",Mark Twain,2009-03-07T00:00:00Z,eng
1601_jg_librivox,1601: Conversation as it was by the Social Fireside in the Time of the Tudors,Mark Twain,2012-02-17T00:00:00Z,eng
1891_collection_bt_librivox,1891 Collection,Various,2013-04-03T00:00:00Z,eng
18th_century_poetry_prose_0910_librivox,Eighteenth Century Poetry and Prose,Various,2009-10-30T00:00:00Z,eng
18thanniversary_2308_librivox,LibriVox 18th Anniversary Collection,Various,2023-08-06T00:00:00Z,mul
1900lastpresident_1904_librivox,1900 or The Last President,Ingersoll Lockwood,2019-04-17T00:00:00Z,eng
1903_collection_1307_librivox,1903 Collection,Various,2013-07-22T00:00:00Z,eng
1910collection_1007_librivox,Multilingual 1910 Collection,Various,2010-07-21T00:00:00Z,mul
1912_shortworks_0906_librivox,1912: Short Works Collection,Various,2009-06-13T00:00:00Z,eng
1914_and_other_poems_1607_librivox,"1914, and Other Poems",Rupert Brooke,2016-07-28T00:00:00Z,eng
1916_first_chapters_collection_1607_librivox,1916: First Chapters Collection,Various,2016-07-19T00:00:00Z,eng
196_tage_auf_treibender_eisscholle_1608_librivox,196 Tage auf treibender Eisscholle,Emil Bessels,2016-08-30T00:00:00Z,deu
19demarzo_2104_librivox,El 19 de Marzo y el 2 de Mayo (Version 2),Benito Pérez Galdós,2021-04-17T00:00:00Z,spa
19demarzo_tux_librivox,El 19 de Marzo y el 2 de Mayo,Benito Pérez Galdós,2010-08-27T00:00:00Z,spa
19scifistories_2009_librivox,Nineteen Science Fiction Short Stories,James Harmon,2020-10-11T00:00:00Z,eng
19thanniversary_2408_librivox,LibriVox 19th Anniversary Collection,Various,2024-08-05T00:00:00Z,mul
1John_kjv_librivox,Bible (KJV) NT 23: John1,King James Version,2010-04-05T00:00:00Z,eng
1_2_timoteo_rva_1712_librivox,"Bible (Reina Valera) NT 15-16: 1, 2 Timoteo",Reina-Valera,2017-12-08T00:00:00Z,spa
1_act_collection_005_1211_librivox,One Act Play Collection 005,Various,2012-10-31T00:00:00Z,eng
1chronicles_jc_librivox,Bible(KJV) 13:1 Chronicles,King James Version,2011-04-27T00:00:00Z,eng
1corinthians_kjv_1103_librivox,1 Corinthians (KJV),King James Version,2011-03-29T00:00:00Z,eng
1corinthians_wnt_mp_librivox,1 Corinthians,Weymouth New Testament,2011-07-06T00:00:00Z,eng
1corinthians_ylt_2111_librivox,Bible (YLT) NT 07: 1st Epistle to the Corinthians,Young's Literal Translation,2021-11-25T00:00:00Z,eng
1corintios_rva_1705_librivox,Bible (Reina Valera) NT 07: 1 Corintios,Reina-Valera,2017-05-21T00:00:00Z,spa
1cronicas_2108_librivox,Bible (Reina Valera) 13: Primer Libro de Crónicas (Version 2),Reina-Valera,2021-07-29T00:00:00Z,spa
1henryIV_0804_librivox,"King Henry IV, Part 1",William Shakespeare,2008-04-19T00:00:00Z,eng
1john_asv_ss_librivox,The First Epistle of John,American Standard Version,2007-07-31T00:00:00Z,eng
1maccabees_2005_librivox,Bible (KJV) Apocrypha/Deuterocanon: 1 Maccabees,King James Version (KJV),2020-05-31T00:00:00Z,eng
1reyes_1909_librivox,El Primer Libro de los Reyes,Reina-Valera,2019-09-15T00:00:00Z,spa
20000_leagues_under_seas_1110_librivox,"20,000 Leagues under the Seas",Jules Verne,2011-10-11T00:00:00Z,eng
20000_leagues_under_the_seas_librivox,Twenty Thousand Leagues Under the Sea,Jules Verne,2007-03-10T00:00:00Z,eng
20000_lieues_sous_les_mers_1010_librivox,20000 lieues sous les mers,Jules Verne,2010-10-30T00:00:00Z,fre
20000_meilen_1001_librivox,Zwanzigtausend Meilen unter'm Meer,Jules Verne,2010-01-24T00:00:00Z,deu
20000_mijlen_1003_librivox,20.000 Mijlen onder Zee,Jules Verne,2010-03-11T00:00:00Z,nld
20000leguas_1602_librivox,20000 Leguas de Viaje Submarino,Jules Verne,2016-02-20T00:00:00Z,spa
20poemas_2005_librivox,20 Poemas Para Ser Leídos En El Tranvía,Oliverio Girondo,2020-05-17T00:00:00Z,spa
20shortsfstories_1908_librivox,20 Short Science Fiction Stories,Various,2019-08-18T00:00:00Z,eng
20thcenturyinventions_1104_librivox,Twentieth Century Inventions: A Forecast,George Sutherland,2011-04-09T00:00:00Z,eng
24_fairy_tales_1804_librivox,Four and Twenty Fairy Tales,Various,2018-04-28T00:00:00Z,eng
2_maccabees_la_1406_librivox,2 Maccabees,Douay-Rheims Version (DRV),2014-06-02T00:00:00Z,eng
2br02b_0801_librivox,2 B R 0 2 B,Kurt Vonnegut,2008-01-15T00:00:00Z,eng
2chronicleskjv_1403_librivox,"2 Chronicles, KJV (Version 2)",King James Version (KJV),2014-03-30T00:00:00Z,eng
2chronylt_mp_librivox,2 Chronicles (YLT),Young's Literal Translation,2011-07-14T00:00:00Z,eng
2corinthians_analyticallyexpounded_2402_librivox,"The Second Epistle of Paul to the Corinthians, Analytically Expounded",David Dickson,2024-02-21T00:00:00Z,eng
2corinthians_darby_1701_librivox,Bible (Darby) NT 08: 2 Corinthians,Darby Bible,2017-01-02T00:00:00Z,eng
2corinthians_kjv_1105_librivox,2 Corinthians (KJV),King James Version,2011-05-01T00:00:00Z,eng
2corinthianswnt_1502_librivox,2 Corinthians (WNT),Weymouth New Testament,2015-02-08T00:00:00Z,eng
2cronicas_2108_librivox,Bible (Reina Valera) 14: Segundo Libro de Crónicas,Reina-Valera,2021-09-28T00:00:00Z,spa
2henryIV_0909_librivox,"King Henry IV, Part 2",William Shakespeare,2009-09-12T00:00:00Z,eng
2john_asv_ss_librivox,The Second Epistle of John,American Standard Version,2007-07-31T00:00:00Z,eng
2maccabees_2005_librivox,Bible (KJV) Apocrypha/Deuterocanon: 2 Maccabees,King James Version (KJV),2020-05-20T00:00:00Z,eng
2ndcorinthiansylt_2201_librivox,Bible (YLT) NT 08: 2nd Epistle to the Corinthians,Young's Literal Translation,2022-01-11T00:00:00Z,eng
2timothy_2006_librivox,St. John Chrysostom on 2 Timothy,St. John Chrysostom,2020-06-18T00:00:00Z,eng
30000_dollar_bequest_1002_librivox,"The 30,000 Dollar Bequest and Other Stories",Mark Twain,2010-02-28T00:00:00Z,eng
300_tang_poems_vol_1_librivox,"Three Hundred Tang Poems, Volume 1",Various,2006-10-14T00:00:00Z,zho
300_tang_poems_vol_2_librivox,"Three Hundred Tang Poems, Volume 2",Various,2008-01-20T00:00:00Z,zho
